   2.7000000e+00   2.3264714e+00   1.8000000e+00   4.1292962e+00   2.6404758e+00
   2.7010000e+00   2.2931758e+00   1.8004946e+00   4.0440554e+00   2.5902175e+00
   2.7020000e+00   2.2731728e+00   1.8009979e+00   3.9731107e+00   2.5451831e+00
   2.7030000e+00   2.2637672e+00   1.8015096e+00   3.9089872e+00   2.4985267e+00
   2.7040000e+00   2.2491629e+00   1.8020338e+00   3.8153775e+00   2.4282829e+00
   2.7050000e+00   2.2195006e+00   1.8025761e+00   3.6875175e+00   2.3366540e+00
   2.7060000e+00   2.1837786e+00   1.8031346e+00   3.5811894e+00   2.2663256e+00
   2.7070000e+00   2.1612312e+00   1.8036975e+00   3.5532797e+00   2.2549461e+00
   2.7080000e+00   2.1628961e+00   1.8042526e+00   3.6026208e+00   2.2955218e+00
   2.7090000e+00   2.1823817e+00   1.8047973e+00   3.6719609e+00   2.3438115e+00
   2.7100000e+00   2.2011836e+00   1.8053377e+00   3.7010121e+00   2.3596443e+00
   2.7110000e+00   2.2041819e+00   1.8058818e+00   3.6760531e+00   2.3388445e+00
   2.7120000e+00   2.1921783e+00   1.8064332e+00   3.6268644e+00   2.3048037e+00
   2.7130000e+00   2.1786340e+00   1.8069900e+00   3.5921502e+00   2.2824024e+00
   2.7140000e+00   2.1770036e+00   1.8075456e+00   3.5993029e+00   2.2871596e+00
   2.7150000e+00   2.1955704e+00   1.8080903e+00   3.6720495e+00   2.3340946e+00
   2.7160000e+00   2.2392476e+00   1.8086119e+00   3.8340226e+00   2.4411093e+00
   2.7170000e+00   2.3044472e+00   1.8091021e+00   4.0802058e+00   2.6091061e+00
   2.7180000e+00   2.3697189e+00   1.8095630e+00   4.3396020e+00   2.7924675e+00
   2.7190000e+00   2.4031487e+00   1.8100086e+00   4.4882008e+00   2.9012568e+00
   2.7200000e+00   2.3914390e+00   1.8104569e+00   4.4611102e+00   2.8842767e+00
   2.7210000e+00   2.3558138e+00   1.8109178e+00   4.3394154e+00   2.7997035e+00
   2.7220000e+00   2.3258669e+00   1.8113895e+00   4.2398915e+00   2.7310544e+00
   2.7230000e+00   2.3085231e+00   1.8118676e+00   4.1834596e+00   2.6909939e+00
