   3.6455755e+01   1.5025895e+01   2.3580886e+03   8.3118716e+00
   2.3960839e+01   8.0275329e+00   2.3758020e+03   8.4520715e+00
   3.9836733e+01   1.3996724e+01   2.3580505e+03   8.3063507e+00
   2.9840800e+01   1.4614227e+01   2.5606055e+03   7.0001310e+00
   2.4989832e+01   2.0789252e+01   2.5215947e+03   6.6053523e+00
   3.4985765e+01   2.2847594e+01   2.5405146e+03   7.3982721e+00
   3.7631748e+01   8.2333671e+00   2.3958445e+03   7.9618054e+00
   4.2335716e+01   5.9691911e+00   2.4094922e+03   7.4294916e+00
   0.0000000e+00   2.1406754e+01   2.6118738e+03   6.5700387e+00
   3.7043751e+01   7.4100304e+00   2.4223015e+03   7.9406721e+00
   2.6165824e+01   3.2933468e+00   2.4738823e+03   7.5787886e+00
   4.2482715e+01   2.3670930e+01   2.4505625e+03   7.5816358e+00
   2.2637848e+01   2.3259262e+01   2.4310566e+03   7.7265001e+00
   2.0579862e+01   2.4700101e+01   2.4708977e+03   7.8454604e+00
   3.4250770e+01   2.0583418e-01   2.4205911e+03   7.6852174e+00
   9.7019349e+00   1.1938382e+01   2.5763445e+03   6.7489591e+00
   2.1314857e+01   1.3996724e+01   2.5228457e+03   7.1419474e+00
   3.8660741e+01   2.4082599e+01   2.5548660e+03   6.9055538e+00
   2.4548835e+01   4.9400203e+00   2.3767273e+03   7.9771330e+00
   3.6161757e+01   5.3516886e+00   2.4194209e+03   7.7450637e+00
   3.1604788e+01   8.0275329e+00   2.4347468e+03   7.7748490e+00
   2.5136831e+01   2.2641760e+01   2.5361584e+03   7.3628042e+00
   1.0583929e+01   2.4082599e+01   2.2077764e+03   8.3395824e+00
   2.8517809e+01   1.0291709e+01   2.4949216e+03   7.2328192e+00
   3.5279763e+00   1.5849232e+01   2.4761006e+03   7.4072604e+00
   2.6753820e+01   5.5575228e+00   2.4317332e+03   7.7948288e+00
   2.8223811e+01   2.0583418e-01   2.3724414e+03   8.2541834e+00
   3.1310790e+01   2.3053428e+01   2.5407571e+03   6.7537740e+00
