   2.2778501e-01   2.2163666e+00   1.0000000e+00   2.0702632e-01   2.3264714e+00   4.5547185e-01   1.8000000e+00   4.1292962e+00   2.6404758e+00
   1.9595680e-01   2.2183530e+00   2.0000000e+00   2.3896306e-01   2.2731349e+00   2.6132691e-01   1.8010000e+00   3.9728521e+00   2.5449950e+00
   2.6073180e-01   2.2202637e+00   2.0000000e+00   2.4834616e-01   2.2501038e+00   2.1806974e-01   1.8020000e+00   3.8214086e+00   2.4328085e+00
   2.8268105e-01   2.2220671e+00   2.0000000e+00   2.7764209e-01   2.1923892e+00   1.8021384e-01   1.8030000e+00   3.6068192e+00   2.2832779e+00
   2.0064054e-01   2.2238572e+00   2.0000000e+00   2.9767937e-01   2.1621385e+00   1.5410022e-01   1.8040000e+00   3.5801675e+00   2.2770573e+00
   1.7937957e-01   2.2256987e+00   2.0000000e+00   2.8658538e-01   2.1894344e+00   1.7287081e-01   1.8050000e+00   3.6828581e+00   2.3497504e+00
   2.1861762e-01   2.2275314e+00   2.0000000e+00   2.8135909e-01   2.2016079e+00   1.8469795e-01   1.8060000e+00   3.6655053e+00   2.3315449e+00
   2.0851755e-01   2.2293275e+00   2.0000000e+00   2.9439873e-01   2.1786045e+00   1.7544702e-01   1.8070000e+00   3.5922795e+00   2.2824883e+00
   2.0781898e-01   2.2311575e+00   2.0000000e+00   2.8447260e-01   2.1924928e+00   2.1640427e-01   1.8080000e+00   3.6599914e+00   2.3263148e+00
   2.1978515e-01   2.2331720e+00   1.0000000e+00   2.2477366e-01   2.2908670e+00   3.8231184e-01   1.8090000e+00   4.0289291e+00   2.5741146e+00
   1.9367549e-01   2.2354147e+00   1.0000000e+00   1.5904945e-01   2.4025050e+00   5.6380166e-01   1.8100000e+00   4.4853393e+00   2.8991619e+00
   1.6717052e-01   2.2375757e+00   1.0000000e+00   1.9155746e-01   2.3505947e+00   4.6925046e-01   1.8110000e+00   4.3220706e+00   2.7877395e+00
   1.5528855e-01   2.2396604e+00   1.0000000e+00   2.1829449e-01   2.3051271e+00   4.3952265e-01   1.8120000e+00   4.1692937e+00   2.6800629e+00
   1.8324172e-01   2.2416919e+00   1.0000000e+00   2.2817352e-01   2.2862937e+00   5.1966017e-01   1.8130000e+00   4.0631402e+00   2.5945383e+00
   2.1218494e-01   2.2437116e+00   1.0000000e+00   2.2524615e-01   2.2924076e+00   6.2165796e-01   1.8140000e+00   4.0394121e+00   2.5674198e+00
   2.4577747e-01   2.2457548e+00   1.0000000e+00   2.0992806e-01   2.3202323e+00   7.1757044e-01   1.8150000e+00   4.0863681e+00   2.5922070e+00
   3.3642281e-01   2.2478119e+00   1.0000000e+00   1.8389697e-01   2.3630338e+00   7.9298801e-01   1.8160000e+00   4.1141268e+00   2.5986446e+00
